PoinType=9@90
X 27.644753$Y 0.000000$Z -171.447204$A -104.065165$B 0.606654$C 30.113432$U -75.950233$V 0.000000$W 0.000000$
X 27.644753$Y 0.000000$Z -171.447204$A -102.249692$B 0.606654$C 30.619949$U -76.031803$V 0.000000$W 0.000000$
X 27.644753$Y 0.000000$Z -171.447204$A -100.383556$B 0.606654$C 31.074057$U -75.987629$V 0.000000$W 0.000000$
X 27.644753$Y 0.000000$Z -171.447204$A -98.483585$B 0.606654$C 31.479311$U -75.835079$V 0.000000$W 0.000000$
X 27.644753$Y 0.000000$Z -171.447204$A -96.561963$B 0.606654$C 31.839848$U -75.590584$V 0.000000$W 0.000000$
X 27.644753$Y 0.000000$Z -171.447204$A -94.627435$B 0.606654$C 32.159897$U -75.269250$V 0.000000$W 0.000000$
X 27.644753$Y 0.000000$Z -171.447204$A -92.685420$B 0.606654$C 32.443661$U -74.884608$V 0.000000$W 0.000000$
X 27.644753$Y 0.000000$Z -171.447204$A -90.738578$B 0.606654$C 32.695153$U -74.448556$V 0.000000$W 0.000000$
X 27.644753$Y 0.000000$Z -171.447204$A -88.788018$B 0.606654$C 32.918042$U -73.971601$V 0.000000$W 0.000000$
X 27.644753$Y 0.000000$Z -171.447204$A -86.831830$B 0.606654$C 33.115841$U -73.462540$V 0.000000$W 0.000000$
X 27.644753$Y 0.000000$Z -171.447204$A -84.867302$B 0.606654$C 33.291663$U -72.929065$V 0.000000$W 0.000000$
X 27.644753$Y 0.000000$Z -171.447204$A -82.890690$B 0.606654$C 33.448320$U -72.377842$V 0.000000$W 0.000000$
X 27.644753$Y 0.000000$Z -171.447204$A -80.896511$B 0.606654$C 33.588409$U -71.814434$V 0.000000$W 0.000000$
X 27.644753$Y 0.000000$Z -171.447204$A -78.877970$B 0.606654$C 33.714288$U -71.243529$V 0.000000$W 0.000000$
X 27.644753$Y 0.000000$Z -171.447204$A -76.827554$B 0.606654$C 33.828077$U -70.669255$V 0.000000$W 0.000000$
X 27.644753$Y 0.000000$Z -171.447204$A -74.736339$B 0.606654$C 33.931725$U -70.095121$V 0.000000$W 0.000000$
X 27.644753$Y 0.000000$Z -171.447204$A -72.594436$B 0.606654$C 34.027004$U -69.524280$V 0.000000$W 0.000000$
X 27.644753$Y 0.000000$Z -171.447204$A -70.389804$B 0.606654$C 34.115583$U -68.959371$V 0.000000$W 0.000000$
